set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,fb_text.stopped,feedback.stopped,ITI.started,ITI_text.started,ITI_text.stopped,ITI.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.0032608999754302204,0.010240399977192283,0.010240399977192283,1.323723900015466,space,1.2848522000131197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3238434999948367,1.3377765999757685,1.3377765999757685,3.520636999979615,space,2.180188999976963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,conjunction,right,0,0,0,right,1,0.9098693000269122,None,0,0,0,3,,,,,3.542143800004851,,,,,,,,,,,,,,,,,3.5377235999912955,3.542143800004851,4.036163099983241,4.054841200006194,4.060635200003162,4.987734600028489,right,1,0.9098693000269122,None,4.9878619000082836,5.003651299979538,6.502393800008576,6.487276000028942,6.487351100018714,6.502393800008576,7.002896399993915,6.986707400006708,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,feature,left,1,1,0,left,1,0.836172399984207,None,0,1,1,2,,,,,7.002896399993915,,,,,,,,,,,,,,,,,6.987176899972837,7.002896399993915,7.487186799990013,7.521537900029216,7.534626599983312,8.376721400010865,left,1,0.836172399984207,None,8.376935800013598,8.392556299979333,,9.885688900016248,9.88575050001964,9.901952699990943,,10.38546189997578,7.534626599983312,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,feature,right,2,2,0,right,1,0.6996600999846123,None,0,2,2,0,,,,,10.40192420000676,,,,,,,,,,,,,,,,,10.385813999979291,10.40192420000676,10.88583899999503,10.901177800027654,10.908312599989586,11.62042009999277,right,1,0.6996600999846123,None,11.620567300007679,11.635171499976423,13.134983800002374,13.119316899974365,13.119374700007029,13.134983800002374,13.635240699979477,13.61898069997551,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,conjunction,left,3,3,0,left,1,1.4141398000065237,None,0,3,3,5,,,,,13.635240699979477,,,,,,,,,,,,,,,,,13.619349399989005,13.635240699979477,14.118343400012236,14.154155700001866,14.16574359999504,15.58615769998869,left,1,1.4141398000065237,None,15.586224799975753,15.601404000015464,17.101635599974543,17.085903199971654,17.08598149998579,17.101635599974543,17.60116120002931,17.584884300013073,14.16574359999504,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,4,4,0,right,1,1.0059158999938518,None,0,4,4,1,,,,,17.60116120002931,,,,,,,,,,,,,,,,,17.58528290002141,17.60116120002931,18.08511719998205,18.14366699999664,18.162292400025763,19.170592800015584,right,1,1.0059158999938518,None,19.17067690001568,19.18409649998648,20.68399719998706,20.66806270001689,20.668115100008436,20.68399719998706,21.18414450000273,21.168978600006085,18.162292400025763,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,conjunction,right,5,5,0,right,1,0.738496000005398,None,0,5,5,4,,,,,21.18414450000273,,,,,,,,,,,,,,,,,21.169451800000388,21.18414450000273,21.66737809998449,21.735181200027,21.755170900025405,22.504139599972405,right,1,0.738496000005398,None,22.504230900027324,22.51691300002858,24.01682149997214,24.001139700005297,24.00120270001935,24.01682149997214,24.518836800009012,24.50163299997803,21.755170900025405,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50208599999314,24.518836800009012,24.518836800009012,32.333461400005035,space,7.800670900032856,None,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,conjunction,right,0,0,0,right,1,0.6167806999874301,None,,,,,0,0,0,18,32.35255100001814,,,,,,,,,,,,,,,,,32.34917200001655,32.35255100001814,32.84976569999708,32.86965720000444,32.87677049997728,33.50015879998682,,,,,,,,,33.500282799999695,33.51577150000958,34.015710500010755,33.99957960000029,,,,,,,,,right,1,0.6167806999874301,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,feature,left,1,1,0,left,1,0.650922900007572,None,,,,,0,1,1,5,34.015710500010755,,,,,,,,,,,,,,,,,33.999979300017,34.015710500010755,34.49975349998567,34.56137070001569,34.58004590001656,35.321523000020534,,,,,,,,,35.32168230001116,35.32513419998577,35.832093700009864,35.815597200009506,34.58004590001656,,,,,,,,left,1,0.650922900007572,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,2,2,0,right,1,0.6105348999844864,None,,,,,0,2,2,14,35.832093700009864,,,,,,,,,,,,,,,,,35.8157447000267,35.832093700009864,36.317014599975664,36.377097200020216,36.3957764999941,37.0185468000127,,,,,,,,,37.018630900012795,37.03171279997332,37.53174599999329,37.51627959997859,36.3957764999941,,,,,,,,right,1,0.6105348999844864,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,feature,left,3,3,0,left,1,0.6490629999898374,None,,,,,0,3,3,29,37.53174599999329,,,,,,,,,,,,,,,,,37.51673329999903,37.53174599999329,38.01609889999963,38.075923900003545,38.094968700024765,38.75326790002873,,,,,,,,,38.75338730000658,38.765074599999934,39.265315699973144,39.2497343000141,38.094968700024765,,,,,,,,left,1,0.6490629999898374,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,conjunction,right,4,4,0,right,1,1.2627228000201285,None,,,,,0,4,4,8,39.265315699973144,,,,,,,,,,,,,,,,,39.25047500000801,39.265315699973144,39.74908560002223,39.83342550002271,39.85594929999206,41.119672400003765,,,,,,,,,41.119804900023155,41.131467500003055,41.63148009998258,41.61636689997977,39.85594929999206,,,,,,,,right,1,1.2627228000201285,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,5,5,0,right,1,0.5056818000157364,None,,,,,0,5,5,2,41.63148009998258,,,,,,,,,,,,,,,,,41.61707799998112,41.63148009998258,42.11609710002085,42.18140900001163,42.20065010001417,42.71921110001858,,,,,,,,,42.719308400002774,42.73103219998302,43.23134980001487,43.21599019999849,42.20065010001417,,,,,,,,right,1,0.5056818000157364,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,conjunction,right,6,6,0,right,1,0.6480128000257537,None,,,,,0,6,6,31,43.23134980001487,,,,,,,,,,,,,,,,,43.21706350002205,43.23134980001487,43.715110299992375,43.75896499998635,43.7709990000003,44.433019799995236,,,,,,,,,44.43311560002621,44.44737549999263,44.94740629999433,44.93146990000969,43.7709990000003,,,,,,,,right,1,0.6480128000257537,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,conjunction,left,7,7,0,left,1,0.8108932999894023,None,,,,,0,7,7,9,44.94740629999433,,,,,,,,,,,,,,,,,44.93193510000128,44.94740629999433,45.43105979997199,45.45088969997596,45.45761600002879,46.28131910000229,,,,,,,,,46.28139790002024,46.296980699989945,,46.781715899996925,45.45761600002879,,,,,,,,left,1,0.8108932999894023,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,feature,left,8,8,0,left,1,1.2946803999948315,None,,,,,0,8,8,16,46.79728920001071,,,,,,,,,,,,,,,,,46.78258649999043,46.79728920001071,47.28196549997665,47.322005999973044,47.33575570001267,48.63228630000958,,,,,,,,,48.632351199979894,48.64669830002822,49.147435799997766,49.13161570002558,,,,,,,,,left,1,1.2946803999948315,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,feature,right,9,9,0,right,1,0.5469257999793626,None,,,,,0,9,9,13,49.147435799997766,,,,,,,,,,,,,,,,,49.13236719998531,49.147435799997766,49.63078260002658,49.65859130001627,49.67179739999119,50.232118499989156,,,,,,,,,50.23220600001514,50.24688280001283,50.74654070002725,50.730306299985386,49.67179739999119,,,,,,,,right,1,0.5469257999793626,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,feature,right,10,10,0,right,1,0.7341029999661259,None,,,,,0,10,10,24,50.74654070002725,,,,,,,,,,,,,,,,,50.73059699998703,50.74654070002725,51.23099389998242,51.25265340000624,51.261344099999405,52.00041360000614,,,,,,,,,52.000784799980465,52.01325130002806,52.51332089997595,52.49760010000318,51.261344099999405,,,,,,,,right,1,0.7341029999661259,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,feature,left,11,11,0,left,1,1.181047399993986,None,,,,,0,11,11,28,52.51332089997595,,,,,,,,,,,,,,,,,52.49832579999929,52.51332089997595,52.99756350001553,53.03753219998907,53.05139689997304,54.24892819998786,,,,,,,,,54.24904070002958,54.2630767999799,54.76304629998049,54.74720250000246,53.05139689997304,,,,,,,,left,1,1.181047399993986,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,12,12,0,right,1,0.5472089000395499,None,,,,,0,12,12,26,54.76304629998049,,,,,,,,,,,,,,,,,54.74775659997249,54.76304629998049,55.24704789998941,55.30274140002439,55.32173949998105,55.88296650000848,,,,,,,,,55.883056099992245,55.895827599975746,56.395845799997915,56.38022440002533,55.32173949998105,,,,,,,,right,1,0.5472089000395499,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,conjunction,left,13,13,0,left,1,1.3397458999534138,None,,,,,0,13,13,11,56.395845799997915,,,,,,,,,,,,,,,,,56.38069929997437,56.395845799997915,56.880759400024544,56.97210339998128,56.99212369997986,58.33423749997746,,,,,,,,,58.33435489999829,58.34588949999306,58.845535000029486,58.82922100002179,56.99212369997986,,,,,,,,left,1,1.3397458999534138,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,conjunction,right,14,14,0,right,1,0.9154927000054158,None,,,,,0,14,14,7,58.845535000029486,,,,,,,,,,,,,,,,,58.82947370002512,58.845535000029486,59.329063899989706,59.366751399997156,59.37816429999657,60.2971384000266,,,,,,,,,60.297201699984726,60.31181970000034,60.81214180000825,60.79704099998344,59.37816429999657,,,,,,,,right,1,0.9154927000054158,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,conjunction,left,15,15,0,left,1,0.7455580999958329,None,,,,,0,15,15,34,60.81214180000825,,,,,,,,,,,,,,,,,60.79780010000104,60.81214180000825,61.29688899999019,61.360356600023806,61.37328629998956,62.1307325999951,,,,,,,,,62.13082800002303,62.145283000019845,62.64520770002855,62.62990320002427,61.37328629998956,,,,,,,,left,1,0.7455580999958329,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,conjunction,left,16,16,0,left,1,0.9294607000192627,None,,,,,0,16,16,33,62.64520770002855,,,,,,,,,,,,,,,,,62.630708699987736,62.64520770002855,63.12867930001812,63.14564659999451,63.15182069997536,64.09590539999772,,,,,,,,,64.09599340002751,64.11130370001774,64.61158179998165,64.59529869997641,63.15182069997536,,,,,,,,left,1,0.9294607000192627,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,conjunction,left,17,17,0,left,1,0.6990590000059456,None,,,,,0,17,17,21,64.61158179998165,,,,,,,,,,,,,,,,,64.59564710000996,64.61158179998165,65.09530280000763,65.11335759999929,65.1208265000023,65.830197400006,,,,,,,,,65.83036989998072,65.8444954000297,66.34526759997243,66.32886309997411,65.1208265000023,,,,,,,,left,1,0.6990590000059456,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,feature,right,18,18,0,right,1,0.6026583999628201,None,,,,,0,18,18,0,66.34526759997243,,,,,,,,,,,,,,,,,66.32935720001115,66.34526759997243,66.82799159997376,66.8385157000157,66.8453179000062,67.46273239998845,,,,,,,,,67.46285319997696,67.47794640000211,67.97761290002381,67.96331949997693,66.8453179000062,,,,,,,,right,1,0.6026583999628201,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,conjunction,right,19,19,0,right,1,0.6658484999788925,None,,,,,0,19,19,20,67.97761290002381,,,,,,,,,,,,,,,,,67.96381980000297,67.97761290002381,68.46185070002684,68.53403159999289,68.55311540002003,69.23257029999513,,,,,,,,,69.23266600002535,69.24430670001311,69.74464340001578,69.72794419998536,68.55311540002003,,,,,,,,right,1,0.6658484999788925,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,conjunction,left,20,20,0,left,1,1.025648100010585,None,,,,,0,20,20,35,69.74464340001578,,,,,,,,,,,,,,,,,69.7283459000173,69.74464340001578,70.2279855000088,70.29781900002854,70.31809570000041,71.34822839999106,,,,,,,,,71.34832069999538,71.36083510000026,71.86110259999987,71.84488539997255,70.31809570000041,,,,,,,,left,1,1.025648100010585,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,feature,right,21,21,0,right,1,0.4940853000152856,None,,,,,0,21,21,1,71.86110259999987,,,,,,,,,,,,,,,,,71.84541419998277,71.86110259999987,72.34457989997463,72.37563909997698,72.38812610000605,72.89620630000718,,,,,,,,,72.89631400001235,72.91033550002612,73.41068179998547,73.39519339997787,72.38812610000605,,,,,,,,right,1,0.4940853000152856,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,conjunction,right,22,22,0,right,1,0.57271259999834,None,,,,,0,22,22,32,73.41068179998547,,,,,,,,,,,,,,,,,73.39595420000842,73.41068179998547,73.89438940002583,73.9768696000101,73.99645450001117,74.58115360001102,,,,,,,,,74.58125400001882,74.59369559999323,75.09423619997688,75.0774825999979,73.99645450001117,,,,,,,,right,1,0.57271259999834,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,feature,left,23,23,0,left,1,0.7346471000346355,None,,,,,0,23,23,15,75.09423619997688,,,,,,,,,,,,,,,,,75.07890680001583,75.09423619997688,75.57749100000365,75.58937840000726,75.59683679998852,76.34458789997734,,,,,,,,,76.34468879998894,76.35995620000176,76.86000749998493,76.84385020000627,75.59683679998852,,,,,,,,left,1,0.7346471000346355,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,conjunction,right,24,24,0,right,1,0.5676121000433341,None,,,,,0,24,24,30,76.86000749998493,,,,,,,,,,,,,,,,,76.84410460002255,76.86000749998493,77.34497209999245,77.36950009997236,77.37776439997833,77.94677630002843,,,,,,,,,77.94697980000637,77.95955069997581,78.45964760001516,78.44314739998663,77.37776439997833,,,,,,,,right,1,0.5676121000433341,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,conjunction,left,25,25,0,left,1,1.2987812000210397,None,,,,,0,25,25,23,78.45964760001516,,,,,,,,,,,,,,,,,78.4433929999941,78.45964760001516,78.9434674999793,79.01318060001358,79.03281160001643,80.34644529997604,,,,,,,,,80.3465307999868,80.35957949998556,80.85990039998433,80.84442490001675,79.03281160001643,,,,,,,,left,1,1.2987812000210397,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,feature,left,26,26,0,left,1,0.8057976000127383,None,,,,,0,26,26,4,80.85990039998433,,,,,,,,,,,,,,,,,80.84553759999108,80.85990039998433,81.34435289999237,81.38850170001388,81.40115119999973,82.21249230002286,,,,,,,,,82.21263080002973,82.22605579998344,82.72560040000826,82.7091553999926,81.40115119999973,,,,,,,,left,1,0.8057976000127383,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,conjunction,right,27,27,0,right,1,0.48663030000170693,None,,,,,0,27,27,6,82.72560040000826,,,,,,,,,,,,,,,,,82.70938969997223,82.72560040000826,83.2094788000104,83.22595039999578,83.2328017000109,83.72718789998908,,,,,,,,,83.72730440000305,83.7424589000293,84.24237839999842,84.22614839999005,83.2328017000109,,,,,,,,right,1,0.48663030000170693,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,conjunction,left,28,28,0,left,1,0.9419200000120327,None,,,,,0,28,28,22,84.24237839999842,,,,,,,,,,,,,,,,,84.22668109997176,84.24237839999842,84.72594680002658,84.76647079997929,84.77776899997843,85.72808580001583,,,,,,,,,85.72819410002558,85.74211310001556,86.24187510000775,86.22616159997415,84.77776899997843,,,,,,,,left,1,0.9419200000120327,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,feature,right,29,29,0,right,1,0.5521016000420786,None,,,,,0,29,29,25,86.24187510000775,,,,,,,,,,,,,,,,,86.22661509999307,86.24187510000775,86.72688759997254,86.7661634000251,86.77980259998003,87.34432129998459,,,,,,,,,87.34442919999128,87.3585533000296,87.85876809997717,87.84249770001043,86.77980259998003,,,,,,,,right,1,0.5521016000420786,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,feature,left,30,30,0,left,1,0.7425569999613799,None,,,,,0,30,30,27,87.85876809997717,,,,,,,,,,,,,,,,,87.84294459997909,87.85876809997717,88.3430944000138,88.35789879999356,88.36590909998631,89.11116480000783,,,,,,,,,89.11129289999371,89.12482720002299,89.62567300000228,89.60977520002052,88.36590909998631,,,,,,,,left,1,0.7425569999613799,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,conjunction,right,31,31,0,right,1,0.6627069999813102,None,,,,,0,31,31,19,89.62567300000228,,,,,,,,,,,,,,,,,89.61056639999151,89.62567300000228,90.10865250002826,90.14549429999897,90.15662919997703,90.8271156999981,,,,,,,,,90.8272041999735,90.8414312999812,91.34143899998162,91.32617100002244,90.15662919997703,,,,,,,,right,1,0.6627069999813102,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,conjunction,left,32,32,0,left,1,0.702986599993892,None,,,,,0,32,32,10,91.34143899998162,,,,,,,,,,,,,,,,,91.32670849998249,91.34143899998162,91.8252772000269,91.86678109999048,91.87895570002729,92.59540629998082,,,,,,,,,92.5956400000141,92.6079977999907,93.10792600002605,93.09270719997585,91.87895570002729,,,,,,,,left,1,0.702986599993892,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,feature,left,33,33,0,left,1,0.5212644999846816,None,,,,,0,33,33,3,93.10792600002605,,,,,,,,,,,,,,,,,93.0933174000238,93.10792600002605,93.59278479998466,93.61310730001424,93.62341120000929,94.15863530000206,,,,,,,,,94.1587669000146,94.17395389999729,94.67386370000895,94.65749740001047,93.62341120000929,,,,,,,,left,1,0.5212644999846816,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,feature,right,34,34,0,right,1,0.6369433000218123,None,,,,,0,34,34,12,94.67386370000895,,,,,,,,,,,,,,,,,94.65769899997395,94.67386370000895,95.158076599997,95.1741980999941,95.18189830001211,95.82509210001444,,,,,,,,,95.82522769999923,95.84048690000782,96.34108099999139,96.32588279998163,95.18189830001211,,,,,,,,right,1,0.6369433000218123,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,feature,left,35,35,0,left,1,0.5044036000035703,None,,,,,0,35,35,17,96.34108099999139,,,,,,,,,,,,,,,,,96.3265760000213,96.34108099999139,96.82446380000329,96.86801420000847,96.88969069998711,97.39846029999899,,,,,,,,,97.39859759999672,97.40718129999004,97.9192937000189,97.89111069997307,96.88969069998711,,,,,,,,left,1,0.5044036000035703,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.89136820001295,97.9192937000189,100.90701429999899,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
